I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
6320	Tsu	1931	9	25	5	59	 44.0		 7.4		 7.4					8	INDONESIA		SW. SUMATRA	  -5.000	  102.750	60								1												1				
3487		1932	5	14	13	11	    		 7.4	 7.4	 8.3					7	INDONESIA		INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO	    .500	  126.000	170	       6	1			       115	2		3	592	3			       6	1			115	2		3	592	3		
6094	Tsu	1932	9	9	13	38	 52.0	17								7	INDONESIA		INDONESIA:  AMBON ISLAND, CERAM ISLAND	  -3.570	  128.350	170								3	73	2		3								2	73	2		3
3521		1933	6	24	21	54	 48.8	20	 7.5	 7.5	 7.5						INDONESIA		INDONESIA:  S SUMATERA	  -5.151	  104.528	60																								
10466		1933	6	25	5	43	 22.0	20	 5.8	 5.8						9	INDONESIA		INDONESIA:  S SUMATERA	  -5.007	  104.501	60		1						2						1						2				
6106	Tsu	1935	11	25	10	3	  3.0		 6.5		 6.5						INDONESIA		INDONESIA:  CELEBES SEA	   5.500	   94.000	60																								
3567	Tsu	1935	12	28	2	35	 22.0	33	 7.9		 7.9					8	INDONESIA		INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA	       	   98.250	60						1		2		2								1		2		2		
3572	Tsu	1936	4	1	2	9	 15.0	60	 7.7		 7.7					9	INDONESIA		INDONESIA:  TALAUD ISLANDS	   4.500	  126.500	170					         3	1		2	169	3							3	1		2	169	3		
3582	Tsu	1936	8	23	21	12	 13.0		 7.3		 7.3					8	INDONESIA		INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE	   6.100	   94.700	60	       9	1			        20	1		2					       9	1			20	1		2				
3583		1936	9	9												8	INDONESIA		INDONESIA:  N SUMATERA:  TAPANULI, KARO	   3.500	   97.500	60	      17	1						2					      17	1						2				
3600		1937	9	27	8	55	 10.0	70	 7.2						 7.2	9	INDONESIA		INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN	  -9.400	  110.200	60	       1	1						3	326	3	2200	4	       1	1						3	326	3	2200	4
6550	Tsu	1937	11	6				33									INDONESIA		INDONESIA:  NEW GUINEA:  FAKFAK	  -3.000	  132.300	170																								
3609	Tsu	1938	2	1	19	4	 18.0	25	 8.5	 8.5	 8.2						INDONESIA		INDONESIA:  NEW GUINEA	  -5.250	  130.500	170																				2	24	1	8	1
6643	Tsu	1938	2	13													INDONESIA		INDONESIA:  NEW GUINEA:  FAKFAK	  -3.000	  132.300	170								1												1				
3619	Tsu	1938	5	19	17	8	 21.0		 7.6		 7.6					9	INDONESIA		INDONESIA:  SULAWESI ISLAND	  -1.000	  120.000	170								3	942	3	184	3	      17	1						3	942	3	184	3
3651	Tsu	1939	12	21	21	0	 40.0	150	 8.0		 8.0						INDONESIA		INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I	       	  123.000	170								2		3										2		3		
3705		1942	5	28	1	1	 48.0	120	 7.5		 7.5						INDONESIA		INDONESIA:  MINAHASSA PENINSULA	       	  124.000	170																								
3745		1943	6	9	3	6	 22.0	50	 7.6		 7.6						INDONESIA		INDONESIA:  S SUMATERA	  -1.000	  101.000	60																								
3749		1943	7	23	14	53	  9.0	90	 8.1		 8.1					8	INDONESIA		INDONESIA:   JAVA:  JOGYAKARTA	  -9.500	  110.000	60	     213	3			      2096	4		3			2800	4	     213	3			2096	4		3			2800	4
3762		1943	11	6	8	31	 37.0	60	 7.6		 7.6						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS	  -6.000	  134.500	170																								
3777		1944	3	22	0	43	 18.0	220	 7.5		 7.5						INDONESIA		INDONESIA:  FLORES	  -8.500	  123.500	60																								
3872		1948	3	1	1	12	 28.0	60	 7.9		 7.9						INDONESIA		INDONESIA:  SERAM	  -3.000	  127.500	170																								
6629	Tsu	1948	6	2	18	58	 18.0		 6.2		 6.2						INDONESIA		INDONESIA:  OFF NORTHWEST COAST	   6.000	   95.000	60																								
6359	Tsu	1949	5	9	13	36	 18.0		 6.7		 6.7						INDONESIA		INDONESIA:  BANDA ACEH	   5.000	   95.000	60																								
3943		1950	6	19	12	36	 54.0		 6.5		 6.5					7	INDONESIA		INDONESIA:  JAVA:  GRESIK	  -6.000	  113.000	60	      16	1			        50	1		1	50	1			      16	1			50	1		1	50	1		
3955	Tsu	1950	10	8	3	23	  9.0	60	 7.6		 7.6						INDONESIA		INDONESIA:  SERAM	  -3.800	  128.300	170													       1	1						3		3		3
3956		1950	11	2	15	27	 56.0	60	 8.1		 8.1						INDONESIA		INDONESIA:  BANDA SEA	  -6.500	  129.500	170																								
4059		1954	11	2	8	24	 54.0		 6.8		 6.8					8	INDONESIA		INDONESIA:  SUMABAWA:  BIMA,RABA	  -8.000	  119.000	60								1				2								1				2
4102		1956	7	18	6	19	 35.0	190	 7.5		 7.5				 7.5		INDONESIA		INDONESIA:  BANDA SEA	  -5.500	  130.000	170																								
4121		1957	4	16	4	4	  4.0	600	 7.5		 7.5						INDONESIA		INDONESIA:  JAVA SEA	  -4.600	  107.100	60																								
4132	Tsu	1957	6	22	23	50	 23.0	33	 7.3		 7.3						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -1.500	  137.000	170								3												3				
6377	Tsu	1957	9	26													INDONESIA		S. JAVA SEA	  -8.200	  107.300	60																								
6378	Tsu	1957	10	26	14	16	 57.0		 6.0		 6.0						INDONESIA		INDONESIA:  KALIMANTAN ISLAND	  -2.000	  116.000	170																								
6324	Tsu	1958	4	21	22	37	 36.0	200	 6.7		 6.7						INDONESIA		INDONESIA:  SUMATRA:  BENGKULU	  -4.500	  104.000	60																								
4178		1958	10	20	1	12	 37.0	100	 6.7		 6.7					8	INDONESIA		INDONESIA:  JAVA:  MALANG	  -9.500	  112.500	60	       8	1			      1856	4		2	95	2	206	3	       8	1			1856	4		2	95	2	206	3
4221		1960	4	29	9	16	 20.0									8	INDONESIA		INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND	   -.500	  121.500	170								2	50	1										2	50	1		
4240		1961	3	16	13	45	 35.6	74	 6.5		 6.5					8	INDONESIA		INDONESIA:  FLORES:  ENDEH	  -8.200	  122.000	60	       2	1			         6	1		2					       2	1			6	1		2				
4292		1963	5	18	12	20	 34.4	65	 6.0		 6.0						INDONESIA		INDONESIA:  BALI	  -8.200	  115.600	60																								
4306		1963	11	4	1	17	 11.4	100	 8.3		 8.3	 7.8					INDONESIA		INDONESIA:  BANDA SEA	  -6.860	  129.580	170								1												1				
6408	Tsu	1963	12	16	1	51	 31.0	64	 6.6		 6.6						INDONESIA		INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO	  -6.400	  105.400	60								1				1								1				1
4307		1964	1	8	22	30	 49.7	90	 5.2		 5.2						INDONESIA		INDONESIA:  SULAWESI:  PINRANG	  -3.700	  119.400	170	       8	1			        27	1		2					       8	1			27	1		2				
4313	Tsu	1964	4	2	1	11	 51.0	130	 7.0		 7.0	 5.6				7	INDONESIA		INDONESIA:  BANDA ACEH	   5.900	   95.700	60								3		3										3		3		
4334	Tsu	1965	1	24	0	11	 12.1	6	 7.6		 7.6						INDONESIA		INDONESIA:  SANANA ISLAND	  -2.400	  126.100	170	      71	2						2	3000	4			      71	2						2	3000	4		
4394		1967	2	19	22	14	 35.3	80	 6.8		 6.8					9	INDONESIA		INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK	  -9.200	  113.100	60	      54	2			       300	3		3	2000	4	5000	4	      54	2			300	3		3	2000	4	5000	4
4396	Tsu	1967	4	11	5	9	 12.1	33	 5.5		 5.5					8	INDONESIA		INDONESIA:  MAKASSAR STRAIT	  -3.700	  119.300	170	      58	2			       100	2		2		2			      71	2			100	2		2		2		
4397	Tsu	1967	4	12	4	51	 50.2	100	 6.1		 6.1						INDONESIA		INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA	   5.500	   97.300	60	      14	1						3	2000	4			      14	1						3	2000	4		
4441		1968	5	28	13	27	 18.7	65	 7.7		 7.7	 6.1					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -2.900	  139.300	170																								
4452	Tsu	1968	8	10	2	7	  4.3	25	 7.6		 7.6						INDONESIA		INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES	   1.400	  126.200	170								1												1				
4454	Tsu	1968	8	14	22	14	 19.4	23	 7.4						 7.4	8	INDONESIA		INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA	    .200	  119.800	170													     200	3			58	2		3	800	3		
4474		1969	1	30	10	29	 40.4	70	 7.5		 7.5	 5.9					INDONESIA		INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN	   4.800	  127.400	170																								
4476	Tsu	1969	2	23	0	36	 56.6	13	 7.4		 7.4					8	INDONESIA		INDONESIA:  SULAWESI:  PARASANGA, PALETOANG	  -3.100	  118.900	170	      64	2			        97	2		3	1287	4			     664	3			97	2		3	1287	4		
4508		1969	11	21	2	5	 35.0	20	 7.7		 7.7						INDONESIA		INDONESIA:  OFF NW COAST SUMATERA	   2.100	   94.600	60																								
4554		1971	1	10	7	17	  3.7	34	 8.1		 8.1	 7.3				9	INDONESIA		INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI	  -3.100	  139.700	170								2		1		2								2		1		2
4555		1971	2	4	15	33	 28.6	40	 7.1		 7.1	 6.3				6	INDONESIA		INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN	    .600	   98.800	60								2												2				
4568		1971	6	16	14	44	 22.5	35	 5.2			 5.2			 5.2		INDONESIA		INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG	  -7.200	  109.100	60	       1	1			         6	1		3			1377	4	       1	1			6	1		3			1377	4
4605		1972	6	11	16	41	   .9	325	 7.8	 7.8	 7.5	 5.8					INDONESIA		INDONESIA:  CELEBES SEA	   3.900	  124.300	170																								
4676	Tsu	1975	1	15	9	42	 24.0		 5.9		 5.9					7	INDONESIA		INDONESIA:  MALUKU:  BANDANAIRA	  -5.000	  130.000	170								2	81	2	6	1								2	81	2	6	1
4683		1975	2	9	4	45	 24.5	27	 5.6		 5.6	 5.2				8	INDONESIA		INDONESIA:  JAVA	  -6.700	  106.700	60	       1	1						2					       1	1						2				
4729		1976	6	25	19	18	 56.9	33	 7.1		 7.1	 6.1					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -4.603	  140.091	170	    6000	4						3					    6000	4						3				
4731		1976	7	14	7	13	 24.0	40	 6.5		 6.5	 6.2					INDONESIA		INDONESIA:  BALI	  -8.170	  114.888	60	     573	3			      4755	4	     195.000	4					     573	3			4755	4	     195.000	4				
4746		1976	10	29	2	51	  7.6	33	 7.1		 7.1	 6.1				8	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA	  -4.517	  139.918	170	     133	3						1				1	     133	3						1				1
4758		1977	1	26	13	11	 29.8	33	 5.2			 5.2			 5.0	6	INDONESIA		INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM	  -8.220	  115.190	60								1																
4763		1977	3	8	23	17	 28.0	22	 6.0		 6.0	 5.5			 6.0	8	INDONESIA		INDONESIA:  SUMATERA,SINURAT,TALU	    .450	  100.020	60								1																
4779	Tsu	1977	8	19	6	8	 55.2	33	 8.0		 8.0	 7.0					INDONESIA		INDONESIA:  SUNDA ISLANDS	 -11.085	  118.464	60								1					     189	3			75	2	       1.200	2				
4832		1979	5	21	16	31	  5.2	43	 5.4		 5.4	 5.4					INDONESIA		INDONESIA:  BALI	  -8.299	  115.934	60								3																
4834		1979	5	30	9	38	 52.9	25	 5.8		 5.8	 6.1					INDONESIA		INDONESIA:  SUMBAWA ISLAND	  -8.207	  115.949	60	      22	1					       4.150	2					      22	1					       4.150	2				
4842	Tsu	1979	9	12	5	17	 51.4	5	 7.9		 7.9	 6.3					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -1.679	  136.040	170	      15	1				3		3	1000	3			     115	3				3		3	1000	3		
4849		1979	10	20	1	41	 10.4	38	 6.2		 6.2	 6.0					INDONESIA		INDONESIA:  SUMBAWA ISLAND	  -8.254	  115.847	60	       2	1			        40	1		2					       2	1			40	1		2				
4851		1979	11	2	15	53	  3.5	62	 6.1		 6.1						INDONESIA		INDONESIA:  JAVA	  -7.656	  108.252	60	      30	1			       200	3	      16.000	3					      30	1			200	3	      16.000	3				
4866		1979	12	15	0	2	 41.6	33	 6.6		 6.6	 5.8					INDONESIA		INDONESIA:  S SUMATERA	  -3.299	  102.712	60	       8	1			       162	3		2	2500	4			       8	1			162	3		3	2500	4		
4867		1979	12	17	19	58	 23.8	33	 6.3		 6.3	 5.6					INDONESIA		INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK	  -8.390	  115.889	60	      27	1			       200	3		2					      27	1			200	3						
4872		1980	4	16	12	18	 20.6	84	 5.8			 5.8					INDONESIA		INDONESIA:  JAVA:  TASIKMALAJA	  -8.082	  108.793	60								2												2				
4909		1981	1	19	15	11	  1.0	33	 6.7		 6.7	 6.0					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS	  -4.576	  139.232	170	     305	3				2	       5.000	2					     305	3				2	       5.000	2				
4939		1982	2	10	16	17	 51.5	40	 5.5			 5.5					INDONESIA		INDONESIA:  JAVA, SUKABUMI	  -6.863	  106.936	60					        17	1	       3.500	2									17	1	       3.500	2				
6461	Tsu	1982	2	24	4	22	 40.3	52	 5.4		 5.4	 5.4					INDONESIA		INDONESIA:  NORTHERN SUMATERA	   4.374	   97.755	60																								
6512	Tsu	1982	3	11	10	32	 27.7	33	 6.4		 6.4	 6.1					INDONESIA		INDONESIA:  SUMBAWA ISLAND REGION	  -9.265	  118.479	60																								
4949		1982	8	6	20	40	 52.2	46	 5.6		 5.6	 5.9					INDONESIA		INDONESIA:  FLORES ISLANDS:  RUTENG	  -8.375	  120.577	60								2												2				
4959	Tsu	1982	12	25	12	28	  2.8	33	 5.9		 5.9	 5.5					INDONESIA		INDONESIA:  FLORES ISLAND:  EASTERN	  -8.405	  123.080	60	      13	1			       390	3	       1.450	2	1875	4			      13	1			390	3	       1.450	2	1875	4		
6463	Tsu	1983	3	12	1	36	 35.8	17	 6.5		 6.5	 6.0					INDONESIA		INDONESIA:  BANDA SEA	  -4.056	  127.924	170								1												1				
4973		1983	4	4	2	51	 34.3	79	 6.6			 6.6				7	INDONESIA		INDONESIA:  SUMATERA:  BANDA ACEH	   5.723	   94.722	60		1			       100	2	       1.000	2						1			100	2	       1.000	2				
4992		1983	10	16	5	32	 28.7	40	 6.0		 6.0	 6.0					INDONESIA		INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI	   1.084	  121.052	170								2	20	1	15	1								2	20	1	15	1
4993		1983	10	25	0	36	 23.4	33	 6.1		 6.1	 5.8				7	INDONESIA		INDONESIA:  CENTRAL SULAWESI	   1.131	  120.858	170	       2	1			         4	1		2	20	1	4	1	       2	1			4	1		2	20	1	4	1
5019	Tsu	1984	1	8	15	24	 13.5	33	 6.6		 6.6	 6.0				7	INDONESIA		INDONESIA:  SULAWESI:  W	  -2.823	  118.806	170	       2	1			        89	2	        .500	1			685	3	       2	1			89	2	        .500	1			685	3
5043		1984	8	27	6	41	 26.2	33	 5.2		 5.2	 5.1					INDONESIA		INDONESIA:  N SUMATERA:  TARUTUNG	   1.761	   99.075	60					       123	3	       1.000	2	415	3							123	3	       1.000	2	415	3		
5063	Tsu	1985	4	13	1	6	   .1	99	 6.2			 6.2					INDONESIA		INDONESIA:  DENPASAR, BALI	  -9.245	  114.185	60								2		2										2		2		
5074		1985	9	15	2	42	 54.8	10	 6.3		 6.3	 5.9					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI	  -4.130	  136.049	170	      10	1			         7	1		2					      10	1			7	1		2				
5085		1985	11	17	9	40	 21.2	10	 7.1		 7.1	 6.0				8	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI	  -1.639	  134.911	170								1												1				
5090		1986	1	29	11	56	 34.6	33	 5.0			 5.0					INDONESIA		INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM	  -3.904	  103.461	60					         2	1		3									2	1		3				
5134		1987	4	25	19	22	  7.2	11	 6.6		 6.6	 5.9					INDONESIA		INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,	   2.244	   98.866	60	       2	1			        22	1	       1.000	2	300	3			       2	1			22	1	       1.000	2	300	3		
5150	Tsu	1987	11	26	1	43	 14.0	33	 6.5		 6.5	 5.8					INDONESIA		INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG	  -8.247	  124.155	60	     125	3			       108	3	       5.000	2	237	3			     125	3			108	3	       5.000	2	237	3		
5188		1989	3	8	11	44	 32.3	32	 5.6		 5.6	 5.9					INDONESIA		INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU	   1.031	  126.189	170								3																
5206		1989	7	14	20	42	 40.0	10	 6.2		 6.2	 6.4					INDONESIA		INDONESIA:  TIMOR:  ALOR	  -8.081	  125.129	60								2																
5207		1989	8	1	0	18	  4.8	14	 5.8		 5.8	 6.0					INDONESIA		INDONESIA:  KURIMA DISTRICT, BALIEM RIVER	  -4.511	  139.022	170	     120	3					       1.000	2																
5210		1989	9	4	5	20	 55.9	9	 6.0		 6.0	 5.8					INDONESIA		INDONESIA:  TEMBAGAPURA	  -4.219	  136.667	170								2												2				
5231		1990	4	18	13	39	 19.0	26	 7.6	 7.6	 7.4	 6.2					INDONESIA		INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO	   1.186	  122.857	170	       3	1			        25	1		3			1140	4	       3	1			25	1		3			1140	4
5251		1990	7	6	0	16	 20.4	14	 4.8		 4.8	 5.8					INDONESIA		INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA	  -6.904	  108.120	60					       103	3		3	10300	4							103	3		3	10300	4		
5265		1990	11	15	2	34	 32.4	48	 6.8		 6.8	 6.0					INDONESIA		INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE	   3.908	   97.457	60	       1	1			        32	1	       2.100	2					       1	1			32	1	       2.100	2				
5294		1991	6	20	5	18	 52.5	31	 7.5	 7.5	 7.0	 6.2				6	INDONESIA		INDONESIA:  MINAHASSA:  GORONTALO, MAMADO	   1.196	  122.787	170								3			1500	4								3			1500	4
5296		1991	7	4	11	43	 10.4	29	 6.5		 6.5	 6.2					INDONESIA		INDONESIA:  TIMOR:  KALABAHI, DILI	  -8.099	  124.681	60	      28	1			       181	3	       7.700	3	1150	4			      28	1			181	3	       7.700	3	1150	4		
5315		1992	2	4	1	58	 39.7	58	 4.4		 4.4	 5.0					INDONESIA		INDONESIA:  JAWA, BREBES	  -7.138	  109.067	60					         1	1		3	800	3	700	3					1	1		3	800	3	700	3
5343	Tsu	1992	12	12	5	29	 26.3	28	 7.8	 7.8	 7.5	 6.5					INDONESIA		INDONESIA:  FLORES REGION, MAUMERE, BABI	  -8.480	  121.896	60	    1000	4			       500	3	     100.000	4	31785	4			    2500	4			2103	4	     100.000	4	31785	4		
5375	Tsu	1994	1	21	2	24	 29.9	20	 7.0	 7.0	 7.2	 6.2					INDONESIA		INDONESIA:  KAU	   1.015	  127.733	170	       9	1			       300	3		2			550	3	       9	1			300	3		2			550	3
5379		1994	2	15	17	7	 43.8	23	 6.9	 6.9	 7.0	 5.9					INDONESIA		INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG	  -4.967	  104.302	60	     207	3			      2000	4	     170.476	4	6000	4			     207	3			2000	4	     170.476	4	6000	4		
5385	Tsu	1994	6	2	18	17	 34.0	18	 7.8	 7.8	 7.2	 5.7					INDONESIA		INDONESIA:  JAVA	 -10.477	  112.835	60		1						1					     238	3			423	3	       2.200	2	1500	4		
6832	Tsu	1994	6	3	21	6	 59.8	26	 6.6	 6.6	 6.4	 6.1					INDONESIA		INDONESIA:  JAVA	 -10.362	  112.892	60																								
10108	Tsu	1994	6	4	0	57	 50.6	11	 6.5	 6.5	 6.3	 6.0					INDONESIA		INDONESIA:  JAVA	 -10.777	  113.366	60																								
6833	Tsu	1994	6	5	1	45	  2.7	17	 6.1	 6.1	 6.3	 5.7					INDONESIA		INDONESIA:  JAVA	 -10.341	  113.369	60																								
5393	Tsu	1994	10	8	21	44	  7.2	17	 6.8	 6.8	 6.8	 6.4					INDONESIA		INDONESIA:  HALMAHERA	  -1.258	  127.980	170	       1	1			        52	2		2			500	3	       1	1			52	2		2			500	3
6491		1995	3	19	23	53	 14.9	33	 6.9	 6.9	 7.1	 6.2					INDONESIA		INDONESIA:  IRIAN JAYA REGION	  -4.183	  135.109	170								1				1								1				1
5410	Tsu	1995	5	14	11	33	 21.1	13	 6.9	 6.9	 6.9	 6.2	6.9			7	INDONESIA		INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA	  -8.452	  125.049	60													      11	1			19	1		1		2		
5422		1995	10	6	18	9	 45.9	33	 6.8	 6.8	 6.9	 5.8					INDONESIA		INDONESIA:  SUMATERA, JAMBI PROVINCE	  -2.045	  101.436	60	      84	2			      1868	4		4	17600	4			      84	2			1868	4		4	17600	4		
5428	Tsu	1996	1	1	8	5	 10.8	24	 7.9	 7.9	 7.6	 6.3				6	INDONESIA		INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI	    .729	  119.931	170								1					       9	1			63	2	       1.200	2	400	3		
5433	Tsu	1996	2	17	5	59	 30.5	33	 8.2	 8.2	 8.1	 6.5					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI	   -.891	  136.952	170	      54	2			       423	3	       4.200	2	5043	4			     164	3			423	3	       4.200	2	5043	4		
5471		1997	8	20	7	15	 15.9	33	 6.0	 6.0	 6.0	 5.9					INDONESIA		INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN	   4.358	   96.494	60								2		3										2		3		
5474		1997	9	28	1	38	 28.6	33	 5.9	 5.9	 5.5	 5.6					INDONESIA		INDONESIA:  SULAWESI, PAREPARE	  -3.776	  119.727	170	      20	1			       300	3	       1.100	2	650	3			      20	1			300	3	       1.100	2	650	3		
5479		1997	11	25	12	14	 33.6	24	 7.0	 7.0	 6.8	 6.1					INDONESIA		INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO	   1.241	  122.536	170								1																
5504		1998	9	28	13	34	 30.4	152	 6.6	 6.6		 6.4					INDONESIA		INDONESIA:  JAWA, MALANG, BLITAR, BANTUR	  -8.194	  112.413	60	       1	1						1	38	1	62	2	       1	1						1	38	1	62	2
5510	Tsu	1998	11	29	14	10	 31.9	33	 7.7	 7.7	 7.7	 6.5				7	INDONESIA		INDONESIA:  MANGOLE, MANADO, TALIABU	  -2.071	  124.891	170	      41	1			       107	3	     200.000	4	1000	3			      41	1			107	3	     200.000	4	1000	3		
5549		1999	12	21	14	14	 57.6	56	 6.5	 6.5	 6.3	 6.2					INDONESIA		INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA	  -6.845	  105.555	60	       5	1			       220	3	       3.900	2			2800	4	       5	1			220	3	       3.900	2			2800	4
5557	Tsu	2000	5	4	4	21	 16.2	26	 7.6	 7.6	 7.5	 6.7					INDONESIA		INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,	  -1.105	  123.573	170	      46	1			       264	3	      30.000	4	10000	4			      46	1			264	3	      30.000	4	10000	4		
5560		2000	6	4	16	28	 26.1	33	 7.9	 7.9	 8.0	 6.8				6	INDONESIA		INDONESIA:  SUMATRA:  BENGKULU, ENGGANO	  -4.721	  102.087	60	     103	3			      2174	4	       6.000	3					     103	3			2174	4	       6.000	3				
